PROJECT,TAG,NAME,LOCATION,YEAR,TYPE,SIZE,SITEAREA,CLIENT,DESCRIPTION,IMAGES
1,shepard-mesa-house,SHEPARD MESA HOUSE,"Carpinteria, CA",2016-2019,Residential ,1900 SF,0.87 acre,Private,"Located on a steep Cherimoya orchard in the foothills of Carpinteria, Shepard Mesa House is a new home for a young family of four. The neighborhood consists of dispersed homes along a single road leading up and around the crown of a hill.Sited diagonally to the contours of the hill, the house slopes with the natural fall of the land. Interior functions at three different levels are gathered under a single gable roof. Bedrooms at the lower elevations are nestled into the working orchard around them where the trees provide the most privacy. The living room, kitchen and dining area on the upper level opens downslope and affords the most expansive views. Neighboring homes are just out of sight as the view stretches out across the valley to the backside of Rincon Mountain.The siting, orientation, and plan take advantage of natural light and ventilation reducing the reliance on mechanical systems and creating a living experience in balance with the site. ","[""/images/projects/shepardmesahouse/001.jpg"", ""/images/projects/shepardmesahouse/002.jpg"", ""/images/projects/shepardmesahouse/003.jpg"", ""/images/projects/shepardmesahouse/004.jpg"", ""/images/projects/shepardmesahouse/005.jpg"", ""/images/projects/shepardmesahouse/006.jpg"", ""/images/projects/shepardmesahouse/007.jpg"", ""/images/projects/shepardmesahouse/008.jpg"", ""/images/projects/shepardmesahouse/009.jpg""]"
2,kno-beverage-house,KNØ BEVERAGE HOUSE,"Escondido, CA",2018,Commercial & Brand Identity,3000 SF,3000 SF,"Seven Beverages, Inc","Knø Beverage House is a new bar and cafe in Escondido, California.  Created as a reaction to the overcrowded microbrew and coffee culture of Southern California, Knø encapsulates a playful spirit of unpretentious aficionados.Nabi Boyd designed the architecture, interiors, identity, and graphics to create a cohesive design across various media. This included producing a family of logos that worked for the various products under the Knø brand (beer, coffee, bar/cafe) as well as stationary, merchandise, and ephemera.The Beverage House itself is a long, narrow masonry building on a busy street in downtown Escondido.  New bi-fold windows and skylights brighten the previously dark space. A mix of high and low materials fit with the brand vibe and embrace a casual but discerning, kid-friendly but sometimes rowdy crowd. The rear garden patio evokes a gabled village from the outside and is made up of a modular system of slatted structures that create various shade conditions and apertures to the sky.  ","[""/images/projects/002knobeveragehouse/001.jpg"", ""/images/projects/knobeveragehouse/002.jpg"", ""/images/projects/knobeveragehouse/003.gif"", ""/images/projects/knobeveragehouse/004.jpg"", ""/images/projects/knobeveragehouse/005.gif"", ""/images/projects/knobeveragehouse/006.jpg"", ""/images/projects/knobeveragehouse/007.jpg"", ""/images/projects/knobeveragehouse/008.jpg"", ""/images/projects/knobeveragehouse/009.jpg"", ""/images/projects/knobeveragehouse/010.jpg"", ""/images/projects/knobeveragehouse/011.jpg""]"
4,adu-for-an-artist,ADU FOR AN ARTIST,"Los Angeles, CA",2018-2019,Residential,575 SF,"10,600 SF",Private,"ADU for an Artist is an accessory dwelling unit designed as a flexible space that can be used for living, working, exhibiting, and storage. The space is open and adaptable with large north-facing sliding doors opening onto a garden. Three large lightwells span across the main space from wall to wall. The building is clad in metal shingles for fire resistance as well as a nod to the material repetition of the existing masonry home. An asymmetrical roof creates an efficient attic space above the kitchen and bathroom. Native grasses slip under and sway against the stepped foundation and floating deck, giving continuity to the landscape around it.","[""/images/projects/aduforanartist/001.jpg"", ""/images/projects/aduforanartist/002.jpg"", ""/images/projects/aduforanartist/003.jpg"", ""/images/projects/aduforanartist/004.jpg"", ""/images/projects/aduforanartist/005.jpg"", ""/images/projects/aduforanartist/006.jpg"", ""/images/projects/aduforanartist/007.jpg""]"
3,silver-lake-remodel,SILVER LAKE REMODEL,"Silver Lake, CA",2019-Ongoing,Residential,1400 SF,3500 SF,Private,In-progress interior remodel of 1400 square foot house in a hilly neighborhood near the Silver Lake Reservoir.  ,"[""/images/projects/silverlakeremodel/001.jpg"", ""/images/projects/silverlakeremodel/002.jpg"", ""/images/projects/silverlakeremodel/003.jpg""]"
5,loo-osos-guest-house,LOS OSOS GUEST HOUSE,"Los Osos, CA",2019,Residential,450 SF,"9,374 SF",Private,"Los Osos Guest House is located near the eastern shore of Morro Bay on a large lot protected by a copse of Monterey Cypress trees. The client, a woman living on a property with her son and his young family, wanted independence while maintaining a connection to the main house. A bathing room with a view and direct sunlight would become a place where she would spend much of her time. The guest house is an efficient one-bedroom unit that uses cut-in atria to separate spaces and create pockets of exterior inside. The large bathroom with a freestanding tub and direct access to a private garden creates a bright and natural experience where one could spend all day.","[""/images/projects/losososguesthouse/001.jpg"", ""/images/projects/losososguesthouse/002.jpg"", ""/images/projects/losososguesthouse/003.jpg""]"
6,three-ventura-houses,THREE VENTURA HOUSES,"Ventura, CA",2019,Residential,4200 SF,7500 SF,Private,,"[""/images/projects/threeventurahouses/001.jpg"", ""/images/projects/threeventurahouses/002.jpg""]"
7,pacific-ave-remodel,PACIFIC AVE REMODEL,"Playa Del Rey, CA",2018- Ongoing,Residential,1300 SF,,Private,"Pacific Ave Remodel is a renovation of an existing 1978 condominium overlooking the entrance to the Marina Del Rey harbor. The one-bedroom condo becomes a one-and-a-half bedroom with the addition of a custom built-in murphy bed. A large swing-door conceals the fold-out bed and transforms into a wall when open. New guardrails, finishes, lighting, and flooring are designed throughout with a nod to the character of the building and site.","[""/images/projects/pacificaveremodel/001.jpg"", ""/images/projects/pacificaveremodel/002.jpg"", ""/images/projects/pacificaveremodel/003.jpg""]"
8,boundary-vases,BOUNDARY VASES,--,2019,Product Design,Various,--,--,"We reinterpreted classic vase figures by creating bounding boxes around their inflected components. Constructed out of a single block of Douglas fir, the detail in the wood grain balances the loss of fidelity in the form, producing an object that is both fine and rough, smart and dumb.","[""/images/projects/boundaryvases/001.jpg"", ""/images/projects/boundaryvases/002.jpg""]"
9,courtyard-table,COURTYARD TABLE,"Santa Monica, CA",2018,Furniture,"85"" x 85""",--,NB,The heart of our office is the worktable located in the center of our 350 square foot space. The worktable is comprised of four desks forming an 85” x 85” square with a 35” x 35” circumscribed opening. The center contains a tree whose foliage screens and filters views to one another and provides a canopy of leaves above. ,"[""/images/projects/courtyardtable/001.jpg"", ""/images/projects/courtyardtable/002.jpg""]"
10,loop-clip,LOOP CLIP,--,Ongoing,Furniture,Various,--,--,Ongoing furniture experiments with a versatile piece of hardware designed by Nabi Boyd.,"[""/images/projects/loopclip/001.jpg"", ""/images/projects/loopclip/002.jpg"" ]"
